id,program,prior,length,depth,lambda,apps,visible,semi,hidden
c001,(lambda (cons 11 (cons 19 (cons 24 (cons 33 (cons 42 (cons 5 (cons 82 (cons 0 (cons 64 (cons 9 empty))))))))))),-88.05365820432280,42,12,1,20,21,0,0
c002,(lambda $0),-3.6375861597263900,2,1,1,0,1,0,0
c003,(lambda (singleton (length $0))),-12.130486658573600,6,3,1,2,0,3,0
c004,(lambda (singleton (max $0))),-12.130486658573600,6,3,1,2,0,3,0
c005,(lambda (reverse $0)),-7.275172319452770,4,2,1,1,2,0,0
c006,(lambda (sort (lambda $0) $0)),-12.087356674825200,7,4,1,2,1,3,0
c007,(lambda (unique $0)),-7.275172319452770,4,2,1,1,1,1,0
c008,(lambda (singleton (sum $0))),-12.079193364186000,6,3,1,2,0,3,0
c009,(lambda (singleton (product $0))),-12.079193364186000,6,3,1,2,0,3,0
c010,(lambda (repeat (first $0) (second $0))),-20.52080056864570,10,4,1,4,2,3,0
c011,(lambda (repeat (max $0) (min $0))),-20.623387157420800,10,4,1,4,2,3,0
c012,(lambda (range 1 1 (first $0))),-21.68723545365250,10,4,1,4,1,4,0
c013,(lambda (range (last $0) -2 0)),-21.68723545365250,10,5,1,4,1,4,0
c014,(lambda (cons (last $0) $0)),-15.716779523912400,8,4,1,3,3,1,0
c015,(lambda (append $0 (second $0))),-15.716779523912400,8,3,1,3,3,1,0
c016,(lambda (concat (reverse (drop 1 $0)) $0)),-22.991951843365200,12,6,1,5,4,2,0
c017,(lambda (concat (drop 3 $0) (take 3 $0))),-27.79597288809840,14,5,1,6,2,5,0
c018,(lambda (concat (drop (last $0) $0) (take (last $0) $0))),-35.07114520755120,18,6,1,8,1,8,0
c019,(lambda ((lambda (concat ($0 first) (concat $1 ($0 last)))) (lambda (if (== ($0 $1) 8) empty (singleton 8))))),NA,32,9,1,14,11,6,0
c020,(lambda (singleton (first $0))),-12.079193364186000,6,3,1,2,0,3,0
c021,(lambda (singleton (last $0))),-12.079193364186000,6,3,1,2,0,3,0
c022,(lambda (singleton (second $0))),-12.079193364186000,6,3,1,2,0,3,0
c023,(lambda (singleton (nth (last $0) $0))),-20.52080056864570,10,5,1,4,0,2,3
c024,(lambda (singleton (nth (nth (first $0) $0) $0))),-28.962407773105300,14,7,1,6,0,3,4
c025,(lambda (singleton (nth (% (first $0) (length $0)) $0))),-33.81772211222610,16,7,1,7,0,2,6
